price,surface,type_of_property,number_of_bedrooms,postal_code,land_surface,garden,garden_surface,fully_equipped_kitchen,swimming_pool,furnished,open_fire,terrace,terrace_surface,number_of_facades,state_of_the_building,zip_code_xx
290000,513,HOUSE,2,5650,610,0,0,0,0,0,1,0,0,4,TO_RENOVATE,zc_56
320000,125,HOUSE,2,5380,2458,0,0,0,0,0,0,1,0,4,JUST_RENOVATED,zc_53
108000,31,APARTMENT,0,5000,0,0,0,0,0,0,0,0,0,1,JUST_RENOVATED,zc_50
325000,110,HOUSE,3,5300,161,1,35,0,0,0,0,1,18,2,NEW,zc_53
85000,230,HOUSE,2,5575,220,1,80,0,0,0,0,0,0,2,TO_RENOVATE,zc_55
400000,206,HOUSE,4,5030,1179,0,0,0,0,0,0,1,0,4,GOOD,zc_50
175000,93,HOUSE,2,5170,3098,0,0,1,0,0,0,0,0,2,GOOD,zc_51
145000,45,APARTMENT,1,5001,0,0,0,0,0,0,0,0,0,1,TO_RENOVATE,zc_50
299000,135,APARTMENT,2,5020,0,0,0,1,0,0,0,1,23,3,NEW,zc_50
990000,315,OTHER,7,5590,2426,1,2200,0,1,0,0,1,40,4,NEW,zc_55
175000,67,APARTMENT,2,5002,0,0,0,0,0,0,0,0,0,1,GOOD,zc_50
850000,2100,OTHER,1,5000,0,0,0,0,0,0,0,0,0,2,GOOD,zc_50
180000,190,HOUSE,3,5640,259,1,50,0,0,0,0,0,0,4,TO_RENOVATE,zc_56
199000,86,APARTMENT,2,5060,0,0,0,0,0,0,0,1,16,3,NEW,zc_50
195000,72,APARTMENT,2,5100,0,0,0,0,0,0,0,1,2,4,JUST_RENOVATED,zc_51
199000,110,APARTMENT,2,5020,0,0,0,0,0,0,0,1,0,3,GOOD,zc_50
390000,218,HOUSE,4,5640,2153,1,2100,1,0,0,0,1,18,4,TO_RENOVATE,zc_56
250000,172,HOUSE,3,5590,447,1,447,0,0,0,0,1,16,2,GOOD,zc_55
285000,160,APARTMENT,4,5300,250,1,250,0,1,0,0,1,0,2,JUST_RENOVATED,zc_53
295000,140,HOUSE,4,5100,140,0,0,0,0,0,0,0,0,2,GOOD,zc_51
240000,103,HOUSE,3,5310,700,1,549,1,0,0,0,1,20,3,GOOD,zc_53
164000,70,HOUSE,2,5542,0,0,0,0,0,0,0,0,0,3,TO_RENOVATE,zc_55
345000,155,HOUSE,3,5310,488,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_53
39000,22,OTHER,1,5640,202,0,0,0,0,0,0,0,0,4,GOOD,zc_56
175000,215,HOUSE,3,5660,100,0,0,1,0,0,0,0,0,2,JUST_RENOVATED,zc_56
345000,188,HOUSE,4,5001,700,0,0,0,0,0,0,1,0,2,TO_RENOVATE,zc_50
335503,210,HOUSE,4,5351,1614,0,0,0,0,0,0,1,0,4,NEW,zc_53
274000,130,HOUSE,3,5360,2271,1,0,1,0,0,0,1,0,3,GOOD,zc_53
395000,260,HOUSE,5,5621,0,1,1000,0,0,0,1,1,0,2,TO_RENOVATE,zc_56
261575,150,HOUSE,3,5680,919,1,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_56
295000,218,HOUSE,4,5530,1321,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_55
45000,212,HOUSE,2,5550,560,1,420,0,0,0,0,0,0,3,TO_REBUILD,zc_55
256500,110,APARTMENT,2,5651,0,0,0,0,0,0,0,1,35,3,TO_RENOVATE,zc_56
240000,130,HOUSE,3,5590,147,1,147,0,0,0,0,0,0,2,GOOD,zc_55
215000,90,APARTMENT,1,5310,0,0,0,0,0,0,0,1,0,1,NEW,zc_53
215000,175,HOUSE,4,5564,248,1,248,0,0,0,0,0,0,2,GOOD,zc_55
325000,121,HOUSE,3,5600,1550,1,1400,0,0,0,0,1,30,4,JUST_RENOVATED,zc_56
175000,88,APARTMENT,2,5570,13,1,13,0,0,0,0,1,0,2,GOOD,zc_55
490000,180,HOUSE,9,5000,118,0,0,0,0,0,0,1,22,2,NEW,zc_50
318000,125,HOUSE,2,5651,1309,1,600,1,0,0,0,1,25,4,TO_RENOVATE,zc_56
349000,113,APARTMENT,2,5020,0,0,0,1,0,0,0,1,27,3,NEW,zc_50
395000,165,HOUSE,5,5100,400,0,0,1,0,0,1,1,21,3,NEW,zc_51
297500,160,HOUSE,3,5100,811,1,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_51
290000,83,APARTMENT,2,5101,0,0,0,0,0,0,0,1,22,1,TO_RENOVATE,zc_51
395000,170,HOUSE,3,5060,2368,1,0,0,0,0,1,1,15,4,GOOD,zc_50
525000,180,HOUSE,4,5080,4900,1,0,0,0,0,0,1,0,2,TO_RENOVATE,zc_50
135000,145,HOUSE,3,5543,160,0,0,0,0,0,0,0,0,2,TO_RENOVATE,zc_55
395000,225,HOUSE,4,5555,1134,1,1000,0,0,0,0,1,21,4,NEW,zc_55
180000,118,APARTMENT,3,5590,125,1,125,0,0,0,0,0,0,3,JUST_RENOVATED,zc_55
375000,147,HOUSE,3,5380,792,1,0,1,0,0,0,1,40,4,TO_RENOVATE,zc_53
195000,95,HOUSE,2,5660,0,0,0,0,0,0,0,1,0,2,TO_RENOVATE,zc_56
269000,161,APARTMENT,3,5030,0,0,0,1,0,0,0,0,0,1,JUST_RENOVATED,zc_50
299000,185,HOUSE,4,5000,158,0,0,0,0,0,0,1,0,3,TO_RENOVATE,zc_50
290000,125,HOUSE,3,5150,617,0,0,0,0,0,0,1,16,4,GOOD,zc_51
450000,425,HOUSE,10,5650,2163,1,0,0,0,0,0,1,0,4,TO_RENOVATE,zc_56
138000,174,HOUSE,3,5660,135,1,25,1,0,0,1,1,25,3,TO_RENOVATE,zc_56
375000,195,HOUSE,4,5350,1238,0,0,1,0,0,0,1,0,4,GOOD,zc_53
270000,179,APARTMENT,5,5560,0,0,0,0,0,0,0,1,53,4,NEW,zc_55
175000,110,APARTMENT,2,5300,0,0,0,1,0,0,0,0,0,1,TO_RENOVATE,zc_53
295000,119,HOUSE,4,5004,748,0,0,1,0,0,0,0,0,4,JUST_RENOVATED,zc_50
260000,120,HOUSE,4,5650,1860,0,0,0,0,0,0,0,0,4,JUST_RENOVATED,zc_56
290000,194,HOUSE,3,5650,353,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_56
245000,232,HOUSE,3,5330,240,0,0,1,0,0,0,0,0,3,TO_RENOVATE,zc_53
210000,150,HOUSE,4,5651,724,0,0,0,0,0,0,1,45,3,TO_RENOVATE,zc_56
330000,165,HOUSE,3,5620,731,1,300,1,1,0,0,1,40,4,NEW,zc_56
445000,270,HOUSE,5,5310,320,0,0,0,0,0,0,1,0,2,GOOD,zc_53
189000,112,APARTMENT,2,5500,0,0,0,0,0,0,0,1,5,2,GOOD,zc_55
249000,171,HOUSE,2,5380,894,0,0,0,0,0,1,0,0,4,NEW,zc_53
200000,110,HOUSE,3,5020,12,0,0,0,0,0,0,1,0,4,JUST_RENOVATED,zc_50
118000,72,OTHER,2,5540,280,1,0,1,0,0,0,1,0,4,NEW,zc_55
46000,25,HOUSE,1,5651,0,0,0,1,0,0,0,0,0,4,JUST_RENOVATED,zc_56
250000,188,HOUSE,4,5170,363,0,0,0,0,0,0,0,0,3,JUST_RENOVATED,zc_51
299000,137,HOUSE,4,5600,1310,1,0,0,0,0,0,1,40,4,NEW,zc_56
209000,95,HOUSE,3,5300,981,1,0,1,0,0,0,0,0,3,TO_RENOVATE,zc_53
65000,165,HOUSE,5,5660,303,0,0,0,0,0,0,0,0,2,TO_RENOVATE,zc_56
190000,148,HOUSE,3,5310,600,1,0,0,0,0,0,1,0,3,JUST_RENOVATED,zc_53
350000,258,HOUSE,5,5000,280,0,0,1,0,0,0,0,0,2,GOOD,zc_50
249000,218,HOUSE,3,5310,176,1,176,0,0,0,0,1,0,2,GOOD,zc_53
250000,110,HOUSE,3,5030,940,1,760,0,0,0,0,0,0,3,TO_RENOVATE,zc_50
189000,106,HOUSE,3,5060,0,0,0,0,0,0,0,0,0,3,TO_RENOVATE,zc_50
119000,112,HOUSE,3,5670,510,1,400,1,0,0,0,0,0,2,GOOD,zc_56
360000,160,HOUSE,3,5340,2000,0,0,0,0,0,0,0,0,4,JUST_RENOVATED,zc_53
395000,315,HOUSE,5,5150,1512,1,1512,0,0,0,0,1,25,4,GOOD,zc_51
299000,157,APARTMENT,3,5310,800,1,800,0,0,0,0,1,37,1,GOOD,zc_53
179000,150,HOUSE,3,5060,736,0,0,0,0,0,0,0,0,3,GOOD,zc_50
475000,272,HOUSE,3,5140,6484,0,0,1,0,0,0,0,0,4,TO_RENOVATE,zc_51
175000,60,APARTMENT,2,5580,0,0,0,1,0,0,0,1,0,2,NEW,zc_55
250000,200,HOUSE,4,5651,4300,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_56
225000,70,APARTMENT,1,5004,0,0,0,0,0,0,0,1,0,1,NEW,zc_50
265000,105,HOUSE,3,5500,286,0,0,0,0,0,0,1,0,3,NEW,zc_55
95000,55,HOUSE,1,5540,460,0,0,1,0,0,0,1,31,4,TO_RENOVATE,zc_55
175000,70,APARTMENT,2,5310,0,0,0,0,0,0,0,1,4,1,GOOD,zc_53
175000,66,HOUSE,2,5540,2005,0,0,0,0,0,0,1,36,4,JUST_RENOVATED,zc_55
890000,410,OTHER,5,5500,10000,0,0,1,0,0,0,1,135,4,GOOD,zc_55
149000,87,HOUSE,3,5001,800,1,0,0,0,0,0,1,15,4,TO_RENOVATE,zc_50
360000,148,HOUSE,3,5032,1198,1,1000,0,0,0,0,1,16,4,GOOD,zc_50
555000,309,HOUSE,5,5004,1000,1,800,0,0,1,0,1,15,2,GOOD,zc_50
369000,136,HOUSE,4,5020,583,1,0,0,0,0,0,1,45,3,TO_RENOVATE,zc_50
298000,157,HOUSE,3,5500,410,0,0,0,0,0,0,1,30,3,TO_RENOVATE,zc_55
230000,175,HOUSE,3,5500,70,0,0,1,0,0,0,1,6,2,NEW,zc_55
372000,266,HOUSE,3,5001,0,0,0,1,0,0,0,1,0,2,TO_RENOVATE,zc_50
149000,97,HOUSE,3,5670,566,0,0,1,0,0,0,1,0,3,GOOD,zc_56
225000,352,HOUSE,3,5001,1113,0,0,0,0,0,0,1,20,2,JUST_RENOVATED,zc_50
355000,122,APARTMENT,2,5537,0,0,0,0,0,0,0,0,0,1,TO_RENOVATE,zc_55
170000,500,HOUSE,3,5574,1808,1,0,1,0,0,0,0,0,2,TO_RENOVATE,zc_55
149000,110,HOUSE,3,5060,147,1,65,0,0,0,0,1,0,2,TO_RENOVATE,zc_50
159000,67,APARTMENT,2,5002,0,0,0,0,0,0,0,0,0,1,GOOD,zc_50
230000,78,APARTMENT,2,5030,0,0,0,0,0,0,0,1,4,1,NEW,zc_50
319000,190,HOUSE,3,5020,230,0,0,0,0,0,0,1,30,3,GOOD,zc_50
139000,52,APARTMENT,1,5300,0,0,0,0,0,0,0,1,0,4,JUST_RENOVATED,zc_53
179900,130,APARTMENT,3,5300,0,0,0,0,0,0,0,1,9,2,TO_RENOVATE,zc_53
239500,95,APARTMENT,2,5530,0,0,0,0,0,0,0,1,9,4,NEW,zc_55
120000,114,APARTMENT,2,5650,0,0,0,0,0,0,0,0,0,2,JUST_RENOVATED,zc_56
339000,168,HOUSE,4,5580,544,1,458,0,0,0,0,1,48,4,GOOD,zc_55
50000,84,HOUSE,3,5540,500,1,500,1,0,0,0,0,0,4,TO_RENOVATE,zc_55
465000,166,HOUSE,4,5000,1823,0,0,0,0,0,1,0,0,4,TO_RENOVATE,zc_50
475000,158,HOUSE,3,5570,1492,0,0,0,0,1,0,1,47,4,GOOD,zc_55
395000,186,HOUSE,3,5650,518,1,320,1,0,0,0,1,74,3,NEW,zc_56
48000,40,OTHER,1,5540,211,1,0,0,0,0,0,0,0,4,GOOD,zc_55
250000,121,HOUSE,3,5560,591,1,500,0,0,0,0,1,0,4,NEW,zc_55
155000,175,APARTMENT,3,5540,0,0,0,0,0,0,0,1,25,2,JUST_RENOVATED,zc_55
160000,86,HOUSE,2,5542,784,1,0,0,0,0,0,1,0,4,GOOD,zc_55
239000,118,HOUSE,3,5377,3752,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_53
125000,154,HOUSE,2,5660,0,0,0,0,0,0,0,1,0,2,JUST_RENOVATED,zc_56
279000,110,HOUSE,3,5170,0,1,550,0,0,0,0,1,13,4,GOOD,zc_51
179000,79,APARTMENT,2,5100,0,0,0,0,0,0,0,0,0,4,GOOD,zc_51
650000,153,HOUSE,3,5530,3800,1,0,1,0,0,1,1,44,3,GOOD,zc_55
90000,200,HOUSE,3,5670,684,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_56
199000,212,HOUSE,4,5560,1655,1,1300,1,0,0,0,1,65,3,JUST_RENOVATED,zc_55
49000,142,HOUSE,3,5620,0,0,0,0,0,0,0,0,0,2,TO_RENOVATE,zc_56
990000,700,OTHER,6,5000,778,0,0,0,0,0,0,1,0,2,TO_RENOVATE,zc_50
300000,200,HOUSE,4,5020,1310,1,1300,0,0,0,0,0,0,4,TO_RENOVATE,zc_50
489000,245,HOUSE,5,5170,0,0,0,0,1,0,1,0,0,4,GOOD,zc_51
210000,120,HOUSE,2,5070,211,0,0,0,0,0,0,0,0,3,TO_RENOVATE,zc_50
325000,200,HOUSE,4,5620,504,0,0,0,0,0,0,1,50,4,TO_RENOVATE,zc_56
105000,23,APARTMENT,1,5100,0,0,0,0,0,0,0,0,0,2,JUST_RENOVATED,zc_51
99000,65,APARTMENT,1,5060,0,0,0,0,0,0,0,0,0,2,GOOD,zc_50
299999,108,HOUSE,2,5060,700,0,0,0,1,0,0,1,100,4,GOOD,zc_50
309000,170,HOUSE,4,5020,704,1,0,0,0,0,0,1,0,3,JUST_RENOVATED,zc_50
250000,180,HOUSE,4,5380,1800,0,0,0,0,0,0,0,0,4,JUST_RENOVATED,zc_53
99000,33,APARTMENT,0,5000,0,0,0,0,0,0,0,1,5,1,TO_RENOVATE,zc_50
229000,170,HOUSE,4,5580,750,1,0,0,0,0,1,0,0,4,GOOD,zc_55
249000,270,HOUSE,6,5340,479,1,0,0,0,0,0,1,30,3,TO_RENOVATE,zc_53
1500000,500,OTHER,6,5030,6000,0,0,0,1,0,0,1,60,4,GOOD,zc_50
310000,133,HOUSE,3,5300,560,1,0,0,0,0,0,1,0,3,NEW,zc_53
430000,282,HOUSE,3,5190,750,0,0,0,0,0,0,0,0,3,GOOD,zc_51
185000,175,HOUSE,1,5650,175,1,0,1,0,0,0,1,1,3,GOOD,zc_56
299000,266,HOUSE,6,5660,0,0,0,0,0,0,0,1,0,2,TO_RENOVATE,zc_56
235000,170,HOUSE,3,5537,550,0,0,0,0,0,0,1,0,3,GOOD,zc_55
167000,63,APARTMENT,2,5530,0,0,0,0,0,0,0,1,4,2,JUST_RENOVATED,zc_55
299000,165,HOUSE,4,5020,1499,0,0,0,0,0,0,1,0,4,GOOD,zc_50
179000,73,APARTMENT,2,5020,0,0,0,0,0,0,0,1,0,1,GOOD,zc_50
99500,87,OTHER,2,5540,378,1,280,1,0,0,0,0,0,4,GOOD,zc_55
224000,114,APARTMENT,3,5060,0,1,0,1,0,0,0,0,0,2,JUST_RENOVATED,zc_50
149500,70,APARTMENT,1,5000,0,0,0,1,0,0,0,0,0,3,GOOD,zc_50
263500,89,APARTMENT,1,5030,0,1,0,1,0,0,0,1,0,1,NEW,zc_50
224500,86,APARTMENT,2,5100,0,0,0,0,0,0,0,1,12,4,TO_RENOVATE,zc_51
275000,87,APARTMENT,1,5000,0,0,0,1,0,0,0,1,0,2,TO_RENOVATE,zc_50
299000,195,HOUSE,3,5100,835,0,0,0,1,0,0,1,0,4,JUST_RENOVATED,zc_51
249000,97,HOUSE,2,5300,1534,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_53
279000,246,HOUSE,5,5300,627,1,475,0,0,0,0,1,0,4,GOOD,zc_53
368000,152,HOUSE,4,5030,1443,0,0,1,0,0,0,1,20,4,GOOD,zc_50
120000,112,HOUSE,2,5600,240,0,0,0,0,0,0,0,0,2,TO_RENOVATE,zc_56
125000,62,APARTMENT,1,5580,0,0,0,1,0,0,0,0,0,2,TO_RENOVATE,zc_55
299000,150,APARTMENT,4,5170,0,0,0,1,0,0,0,1,0,4,JUST_RENOVATED,zc_51
219000,83,APARTMENT,2,5030,0,0,0,0,0,0,0,0,0,1,NEW,zc_50
145000,112,HOUSE,2,5550,636,1,636,1,0,0,0,1,10,4,JUST_RENOVATED,zc_55
299000,198,HOUSE,3,5600,981,0,0,1,0,0,0,0,0,2,JUST_RENOVATED,zc_56
369000,164,HOUSE,3,5001,611,0,0,1,1,0,0,1,20,4,NEW,zc_50
145000,45,APARTMENT,1,5000,0,0,0,0,0,0,0,0,0,1,GOOD,zc_50
399000,249,HOUSE,6,5680,9225,0,0,0,0,0,0,1,55,4,TO_RENOVATE,zc_56
225000,115,HOUSE,3,5630,510,1,0,0,0,0,0,0,0,3,TO_RENOVATE,zc_56
299000,150,APARTMENT,4,5000,0,0,0,1,0,0,0,1,0,4,JUST_RENOVATED,zc_50
279000,102,APARTMENT,2,5020,0,0,0,0,0,0,0,1,7,1,TO_RENOVATE,zc_50
315000,130,HOUSE,4,5080,523,0,0,0,0,0,0,0,0,3,GOOD,zc_50
200000,172,HOUSE,5,5060,585,1,365,0,0,0,0,1,0,2,TO_RENOVATE,zc_50
195000,110,HOUSE,3,5002,598,0,0,1,0,0,0,1,0,2,JUST_RENOVATED,zc_50
89000,75,HOUSE,1,5680,404,1,340,0,0,0,0,1,6,3,TO_RENOVATE,zc_56
199000,120,HOUSE,3,5060,1,1,10,0,0,0,0,0,0,2,JUST_RENOVATED,zc_50
175000,75,APARTMENT,2,5310,0,0,0,0,0,0,0,1,4,1,GOOD,zc_53
140000,87,HOUSE,1,5377,410,0,0,0,0,0,0,1,0,4,TO_RENOVATE,zc_53
199000,292,HOUSE,5,5300,590,0,0,0,0,0,0,1,0,2,TO_RENOVATE,zc_53
159500,125,HOUSE,4,5380,553,1,0,1,0,0,0,1,0,3,TO_RENOVATE,zc_53
202000,76,HOUSE,2,5530,600,1,0,0,0,0,0,1,0,4,NEW,zc_55
1695000,1500,OTHER,18,5550,19958,0,0,0,0,1,0,0,0,4,NEW,zc_55
275000,151,HOUSE,4,5670,590,0,0,0,0,0,0,1,0,2,TO_RENOVATE,zc_56
525000,230,HOUSE,5,5080,1197,1,1017,0,0,0,1,1,40,4,TO_RENOVATE,zc_50
99000,40,HOUSE,2,5620,3000,1,3000,1,0,0,0,0,0,4,JUST_RENOVATED,zc_56
199000,165,HOUSE,2,5360,2835,0,0,0,0,0,0,1,0,3,TO_RENOVATE,zc_53
140000,35,APARTMENT,0,5100,0,0,0,0,0,0,0,0,0,2,NEW,zc_51
295000,112,APARTMENT,2,5000,0,0,0,0,0,0,0,1,6,4,TO_RENOVATE,zc_50
240000,178,HOUSE,4,5560,390,0,0,0,0,0,0,1,0,3,GOOD,zc_55
560000,255,HOUSE,10,5000,290,0,0,0,0,0,0,1,20,2,NEW,zc_50
